home_team,away_team,home_goals,away_goals,result,season,total_goals
Chelsea,Fulham,2.0,2.0,D,2006-2007,4.0
Everton,Newcastle United,3.0,0.0,H,2006-2007,3.0
Manchester United,Reading,3.0,2.0,H,2006-2007,5.0
Tottenham Hotspur,Liverpool,0.0,1.0,A,2006-2007,1.0
West Ham United,Manchester City,0.0,1.0,A,2006-2007,1.0
Sheffield United,Arsenal,1.0,0.0,H,2006-2007,1.0
Liverpool,Bolton Wanderers,3.0,0.0,H,2006-2007,3.0
Fulham,Watford,0.0,0.0,D,2006-2007,0.0
Manchester City,Everton,2.0,1.0,H,2006-2007,3.0
Middlesbrough,Sheffield United,3.0,1.0,H,2006-2007,4.0
Portsmouth,Tottenham Hotspur,1.0,1.0,D,2006-2007,2.0
Reading,West Ham United,6.0,0.0,H,2006-2007,6.0
Wigan Athletic,Blackburn Rovers,0.0,3.0,A,2006-2007,3.0
Newcastle United,Manchester United,2.0,2.0,D,2006-2007,4.0
Arsenal,Charlton Athletic,4.0,0.0,H,2006-2007,4.0
Aston Villa,Chelsea,0.0,0.0,D,2006-2007,0.0
Watford,Liverpool,0.0,3.0,A,2006-2007,3.0
Bolton Wanderers,Manchester City,0.0,0.0,D,2006-2007,0.0
Charlton Athletic,Middlesbrough,1.0,3.0,A,2006-2007,4.0
Chelsea,Wigan Athletic,4.0,0.0,H,2006-2007,4.0
Manchester United,Aston Villa,3.0,1.0,H,2006-2007,4.0
Sheffield United,Portsmouth,1.0,1.0,D,2006-2007,2.0
West Ham United,Fulham,3.0,3.0,D,2006-2007,6.0
Blackburn Rovers,Arsenal,0.0,2.0,A,2006-2007,2.0
Everton,Reading,1.0,1.0,D,2006-2007,2.0
Tottenham Hotspur,Newcastle United,2.0,3.0,A,2006-2007,5.0
Liverpool,Chelsea,2.0,0.0,H,2006-2007,2.0
Aston Villa,Watford,2.0,0.0,H,2006-2007,2.0
Fulham,Tottenham Hotspur,1.0,1.0,D,2006-2007,2.0
Middlesbrough,Bolton Wanderers,5.0,1.0,H,2006-2007,6.0
Newcastle United,West Ham United,2.0,2.0,D,2006-2007,4.0
Portsmouth,Charlton Athletic,0.0,1.0,A,2006-2007,1.0
Reading,Sheffield United,3.0,1.0,H,2006-2007,4.0
Manchester City,Blackburn Rovers,0.0,3.0,A,2006-2007,3.0
Wigan Athletic,Everton,0.0,2.0,A,2006-2007,2.0
Arsenal,Manchester United,2.0,1.0,H,2006-2007,3.0
Watford,Blackburn Rovers,2.0,1.0,H,2006-2007,3.0
Portsmouth,Middlesbrough,0.0,0.0,D,2006-2007,0.0
Sheffield United,Fulham,2.0,0.0,H,2006-2007,2.0
West Ham United,Liverpool,1.0,2.0,A,2006-2007,3.0
Reading,Wigan Athletic,3.0,2.0,H,2006-2007,5.0
Chelsea,Blackburn Rovers,3.0,0.0,H,2006-2007,3.0
Bolton Wanderers,Charlton Athletic,1.0,1.0,D,2006-2007,2.0
Manchester United,Watford,4.0,0.0,H,2006-2007,4.0
Newcastle United,Aston Villa,3.0,1.0,H,2006-2007,4.0
Liverpool,Everton,0.0,0.0,D,2006-2007,0.0
Aston Villa,West Ham United,1.0,0.0,H,2006-2007,1.0
Blackburn Rovers,Sheffield United,2.0,1.0,H,2006-2007,3.0
Charlton Athletic,Chelsea,0.0,1.0,A,2006-2007,1.0
Fulham,Newcastle United,2.0,1.0,H,2006-2007,3.0
Manchester City,Reading,0.0,2.0,A,2006-2007,2.0
Watford,Bolton Wanderers,0.0,1.0,A,2006-2007,1.0
Wigan Athletic,Portsmouth,1.0,0.0,H,2006-2007,1.0
Middlesbrough,Arsenal,1.0,1.0,D,2006-2007,2.0
Tottenham Hotspur,Manchester United,0.0,4.0,A,2006-2007,4.0
Reading,Aston Villa,2.0,0.0,H,2006-2007,2.0
Chelsea,Middlesbrough,3.0,0.0,H,2006-2007,3.0
Everton,Blackburn Rovers,1.0,0.0,H,2006-2007,1.0
Manchester United,Charlton Athletic,2.0,0.0,H,2006-2007,2.0
Newcastle United,Liverpool,2.0,1.0,H,2006-2007,3.0
Sheffield United,Tottenham Hotspur,2.0,1.0,H,2006-2007,3.0
West Ham United,Watford,0.0,1.0,A,2006-2007,1.0
Portsmouth,Manchester City,2.0,1.0,H,2006-2007,3.0
Bolton Wanderers,Fulham,2.0,1.0,H,2006-2007,3.0
Arsenal,Wigan Athletic,2.0,1.0,H,2006-2007,3.0
Watford,Wigan Athletic,1.0,1.0,D,2006-2007,2.0
Everton,Tottenham Hotspur,1.0,2.0,A,2006-2007,3.0
Fulham,Manchester United,1.0,2.0,A,2006-2007,3.0
Charlton Athletic,West Ham United,4.0,0.0,H,2006-2007,4.0
Liverpool,Sheffield United,4.0,0.0,H,2006-2007,4.0
Middlesbrough,Reading,2.0,1.0,H,2006-2007,3.0
Watford,Everton,0.0,3.0,A,2006-2007,3.0
Wigan Athletic,Newcastle United,1.0,0.0,H,2006-2007,1.0
Blackburn Rovers,Portsmouth,3.0,0.0,H,2006-2007,3.0
Tottenham Hotspur,Bolton Wanderers,4.0,1.0,H,2006-2007,5.0
Liverpool,Manchester United,0.0,1.0,A,2006-2007,1.0
Arsenal,Reading,2.0,1.0,H,2006-2007,3.0
Fulham,Aston Villa,1.0,1.0,D,2006-2007,2.0
Manchester City,Wigan Athletic,0.0,1.0,A,2006-2007,1.0
Newcastle United,Middlesbrough,0.0,0.0,D,2006-2007,0.0
Sheffield United,Everton,1.0,1.0,D,2006-2007,2.0
Watford,Charlton Athletic,2.0,2.0,D,2006-2007,4.0
Portsmouth,Chelsea,0.0,2.0,A,2006-2007,2.0
Bolton Wanderers,Blackburn Rovers,1.0,2.0,A,2006-2007,3.0
West Ham United,Tottenham Hotspur,3.0,4.0,A,2006-2007,7.0
Aston Villa,Arsenal,0.0,1.0,A,2006-2007,1.0
Manchester City,Chelsea,0.0,1.0,A,2006-2007,1.0
Manchester United,Bolton Wanderers,4.0,1.0,H,2006-2007,5.0
Chelsea,Sheffield United,3.0,0.0,H,2006-2007,3.0
Middlesbrough,Manchester City,0.0,2.0,A,2006-2007,2.0
Reading,Portsmouth,0.0,0.0,D,2006-2007,0.0
Tottenham Hotspur,Watford,3.0,1.0,H,2006-2007,4.0
Wigan Athletic,Fulham,0.0,0.0,D,2006-2007,0.0
Blackburn Rovers,West Ham United,1.0,2.0,A,2006-2007,3.0
Charlton Athletic,Newcastle United,2.0,0.0,H,2006-2007,2.0
Aston Villa,Liverpool,0.0,0.0,D,2006-2007,0.0
Everton,Arsenal,1.0,0.0,H,2006-2007,1.0
Liverpool,Arsenal,4.0,1.0,H,2006-2007,5.0
Bolton Wanderers,Sheffield United,1.0,0.0,H,2006-2007,1.0
Charlton Athletic,Wigan Athletic,1.0,0.0,H,2006-2007,1.0
Fulham,Portsmouth,1.0,1.0,D,2006-2007,2.0
Manchester United,Blackburn Rovers,4.0,1.0,H,2006-2007,5.0
Newcastle United,Manchester City,0.0,1.0,A,2006-2007,1.0
West Ham United,Middlesbrough,2.0,0.0,H,2006-2007,2.0
Watford,Chelsea,0.0,1.0,A,2006-2007,1.0
